LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income,Population Density Rank,Population Per Sq Mile,Square Miles,banks/person/mile,altbanks/person/mile
Tujunga,152,58001,104,0.557,2,1,68647,204,2649,10.0158177057,0.000755002,0.000377501
Walnut Park,198,48750,263,0.089,6,6,68647,8,22028,.734515844261,0.027238061,0.027238061
Baldwin Park,161,56585,206,0.36,5,4,68647,78,11176,6.77801613616,0.000447387,0.00035791
Santa Clarita,50,88987,155,0.479,20,5,68647,203,2745,57.3513787685,0.72859745,0.182149362
Paramount,193,49815,177,0.445,5,4,68647,75,11395,4.85462717726,0.000438789,0.000351031
Mission Hills,80,75675,72,0.615,2,2,68647,159,5721, 3.1874975889,0.000349589,0.000349589
El Segundo,59,83925,199,0.38,10,1,68647,199,2925,5.45900812963,0.003418803,0.00034188
Beverly Hills,37,96312,217,0.32,21,2,68647,155,5933,5.70224133167,0.003539525,0.000337098
La Mirada,61,83514,53,0.644,6,2,68647,154,5966,7.84124979432,0.001005699,0.000335233
Willowbrook,230,38224,135,0.523,3,3,68647,113,9117,3.76636072646,0.000329056,0.000329056
Rancho Palos Verdes,14,128321,125,0.537,4,1,68647,195,3084,13.3940478696,0.001297017,0.000324254
West Covina,89,71898,23,0.682,35,5,68647,148,6509,16.1145589195,0.537717007,0.076816715
Hyde Park,226,39460,152,0.488,2,4,68647,59,12700,2.88464641644,0.00015748,0.000314961
Green Meadows,245,31347,147,0.512,1,4,68647,58,12785,2.21985249315,7.82167E-05,0.000312867
El Sereno,210,45866,216,0.325,1,3,68647,101,9826,4.16777889868,0.000101771,0.000305312
Granada Hills,60,83911,70,0.62,6,1,68647,191,3344,15.1114320603,0.001794258,0.000299043
Downey,139,61839,96,0.577,19,5,68647,118,8566,12.5294779177,0.221807145,0.058370301
North Hills,184,52456,76,0.604,6,5,68647,95,10003,5.30811801222,0.059982005,0.049985004
Valley Glen,208,46175,64,0.632,3,5,68647,62,12325,4.80554447147,0.024340771,0.040567951
Vermont Vista,246,31272,132,0.526,5,5,68647,47,14154,1.64553261505,0.035325703,0.035325703
Redondo Beach,46,92263,158,0.474,11,3,68647,91,10129,6.24555882131,0.001085991,0.000296179
South El Monte,204,46912,240,0.248,0,2,68647,138,7150,2.927779691,0,0.00027972
Rowland Heights,87,72638,63,0.632,16,1,68647,187,3604,13.1853488623,0.004439512,0.000277469
Florence-Firestone,237,34408,243,0.243,3,5,68647,33,16805,3.57948601666,0.01785183,0.02975305
Hawaiian Gardens,205,46853,179,0.436,0,4,68647,39,15141,.985072535583,0,0.000264183
Sunland,100,68720,133,0.526,0,1,68647,185,3825,4.00411735528,0,0.000261438
Westchester,75,77473,37,0.66,11,1,68647,184,3839,10.8092117067,0.00286533,0.000260485
La Verne,62,83352,129,0.53,9,1,68647,183,3863,8.57295018917,0.002329795,0.000258866
Koreatown,251,30558,78,0.602,17,11,68647,1,42611,2.70048311541,0.000398958,0.000258149
Tarzana,84,73195,160,0.471,8,1,68647,182,4038,8.79090161634,0.001981179,0.000247647
Signal Hill,117,66283,8,0.737,2,1,68647,180,4171,2.22339551786,0.000479501,0.000239751
Temple City,119,65965,34,0.665,6,2,68647,122,8366, 3.9799922816,0.000717189,0.000239063
