,Neighborhood,Alt Bank Name,Alt Bank Lat,Alt Bank Long
546,Watts,ACE Cash Express,34.0363753,-118.1916756
547,Watts,ACE Cash Express,34.1059016,-118.1997929
548,Watts,Speedy Cash,34.0581162,-118.271151
549,Watts,Union Check Cashing,34.0493721,-118.3084179
550,Watts,Continental Currency Services,34.0040542,-118.2924109
551,Watts,Check Cashing Center,33.9891839,-118.3312117
552,Watts,Continental Currency Services,34.0401184,-118.3084546
553,Watts,PLS Check Cashing,34.0439627,-118.3085231
554,Watts,Continental Currency Services,34.0109998,-118.3086828
555,Chinatown,ACE Cash Express,34.0475639,-118.3085231
556,Chinatown,Continental Currency Services,34.0480632,-118.3268208
557,Chinatown,Continental Currency Services,33.9883617,-118.2895982
558,Chinatown,"Cash Depot, Inc",34.0257985,-118.3082437
559,Chinatown,Angel Enterprise,34.0155626,-118.2743889
560,Chinatown,Cash Flow Note Investors,34.0047856,-118.3338325
561,Chinatown,Continental Currency Services,34.0404147,-118.3312921
562,Chinatown,Check Into Cash,34.016585,-118.335599
563,Chinatown,ACE Cash Express,33.9887585,-118.3087527
564,Chinatown,ACE Cash Express,34.0103865,-118.3094447
565,Chinatown,Olympic Check Cashing,34.0184026,-118.2064118
566,Chinatown,PLS Check Cashing,34.0445909,-118.276306
567,Chinatown,Mundo Check Cashing #4,34.0474677,-118.2858348
568,Chinatown,City Check Cashers,34.0570666,-118.2915045
569,Chinatown,First Central Check Cashing,34.0040935,-118.2567269
570,Chinatown,The Check Cashing Place,34.0686394,-118.2920126
571,Chinatown,King City Checks,34.0164562,-118.2557433
572,Chinatown,Continental Currency Services,34.0469576,-118.2521516
573,Chinatown,Wely Gra Check Cashing,34.0043166,-118.2426499
574,Chinatown,Go - Plaz Check Cashing,34.0252922,-118.2593423
575,Chinatown,Alameda Check Cashing,34.00244,-118.2399144
576,Chinatown,Color Check Cashing,34.0451162,-118.2529638
577,Chinatown,Continental Currency Services,34.0466833,-118.2070169
578,Chinatown,PLS Check Cashing,34.03421,-118.2164092
579,Chinatown,E Z Check Cashing,34.0192714,-118.2401448
580,Chinatown,Hana Check Cashing,34.021471,-118.271291
581,Chinatown,San Pedro Check Cashing,34.0261711,-118.270844
582,Chinatown,Beverly Kenmore Check Cashing,34.07618739999999,-118.2967989
583,Chinatown,Angel Check Cashing,34.0436526,-118.2555609
584,University Park,avalon quik check,34.00421499999999,-118.2655189
585,University Park,Cosomos Check Cashing,34.02662189999999,-118.2673541
586,University Park,Broadway Check Cashing,34.0733966,-118.2158006
587,University Park,Santee Market Check Cashing,34.0414343,-118.2512
588,University Park,CFSC,34.0686358,-118.2920819
589,University Park,Elite Check Cashing,34.0397584,-118.3010449
590,University Park,Campers Corner,34.0396308,-118.2454618
591,University Park,3rd Street Check Cashing and Loans,34.0692379,-118.295687
592,University Park,Hollystart Check Cashing,34.0427081,-118.2492679
593,University Park,Santa Fe Check Cashing,34.0217574,-118.204345
594,University Park,Third & Normandie Check Cash,34.0691852,-118.2998458
595,University Park,Wally's Market & Check Cashing,34.02629520000001,-118.258562
596,University Park,PLS Check Cashing,34.0436399,-118.2845886
597,University Park,Continental Currency Services,34.0562769,-118.2772124
598,University Park,Paycheck cashing and payday,34.026332,-118.2194249
599,University Park,Rampart Check Cashing,34.0663198,-118.2783037
600,University Park,Su Casa De Cambio,34.0478269,-118.2106577
601,University Park,Any Kind Check Cashing Center,34.0113364,-118.2825148
602,University Park,Via Cash,34.0602746,-118.2753045
603,University Park,CFSC,34.0570665,-118.2914588
604,University Park,Plaza Check Cashing,34.039774,-118.2921629
605,University Park,ACE Cash Express,34.0111014,-118.2922409
606,University Park,Downtown Check Services,34.0230651,-118.2702647
607,University Park,Unipago Check Cashing,34.004089,-118.2567933
608,University Park,Sun's Cash Express,34.0320688,-118.2594819
609,University Park,New Hampshire Check Cashing,34.0693318,-118.2925028
610,University Park,Wilshire Medical Center,34.0615041,-118.2899015
611,University Park,ACE Cash Express,34.0581254,-118.2720296
612,University Park,Cash It Here Inc,34.0562769,-118.2772124
613,University Park,Order Express,34.03262220000001,-118.2444346
614,University Park,J W Processing,34.0557407,-118.2896316
615,University Park,Mundo Check Cashing #3,34.0241103,-118.1915225
616,University Park,PLS Check Cashiers,34.0445801,-118.2763153
617,University Park,Call For Cash,34.0359084,-118.1927559
618,University Park,Phoenix Check Cashing,34.004089,-118.2567933
619,University Park,ACE Cash Express,34.0768833,-118.2567688
620,University Park,ACE Cash Express,34.0287277,-118.2601184
621,University Park,ACE Cash Express,34.0453645,-118.2768425
622,University Park,ACE Cash Express,34.0444288,-118.2910931
623,University Park,ACE Cash Express,34.07636,-118.2155375
624,University Park,ACE Cash Express,34.0283343,-118.200906
