LA Neighborhood,Median Rank,Median Income,Diversity Rank,Diversity Index,Bank Count,Alt Bank Count,Average Income
Atwater Village,175,"$53,872 ",50,0.645,2,0,"$68,647 "
San Fernando,174,"$54,068 ",254,0.192,5,1,"$68,647 "
Walnut Park,198,"$48,750 ",263,0.089,6,6,"$68,647 "
Silver Lake,172,"$54,339 ",28,0.676,1,0,"$68,647 "
Reseda,171,"$54,771 ",42,0.656,4,10,"$68,647 "
Monterey Park,170,"$55,210 ",124,0.537,12,0,"$68,647 "
Harbor City,169,"$55,454 ",30,0.674,1,1,"$68,647 "
Valley Village,168,"$55,470 ",146,0.512,1,0,"$68,647 "
Montecito Heights,167,"$55,901 ",134,0.524,0,0,"$68,647 "
La Puente,166,"$55,902 ",225,0.306,4,6,"$68,647 "
Montebello,183,"$52,623 ",190,0.417,10,6,"$68,647 "
Sun Village,164,"$56,175 ",71,0.619,0,1,"$68,647 "
Unincorporated Catalina Island,163,"$56,295 ",150,0.495,0,0,"$68,647 "
North El Monte,162,"$56,577 ",25,0.678,0,0,"$68,647 "
Baldwin Park,161,"$56,585 ",206,0.36,5,4,"$68,647 "
Pico Rivera,160,"$56,683 ",248,0.221,7,4,"$68,647 "
San Gabriel,159,"$56,687 ",56,0.637,10,1,"$68,647 "
Glendale,158,"$57,112 ",59,0.635,25,6,"$68,647 "
Alondra Park,157,"$57,177 ",2,0.748,0,0,"$68,647 "
San Pedro,156,"$57,508 ",66,0.63,14,3,"$68,647 "
Sawtelle,155,"$57,710 ",38,0.659,5,1,"$68,647 "
Mount Washington,154,"$57,725 ",101,0.565,0,0,"$68,647 "
Gramercy Park,153,"$57,983 ",244,0.241,0,0,"$68,647 "
Tujunga,152,"$58,001 ",104,0.557,2,1,"$68,647 "
Mid-Wilshire,151,"$58,483 ",1,0.755,3,3,"$68,647 "
Northwest Antelope Valley,150,"$58,899 ",203,0.372,0,1,"$68,647 "
Lomita,149,"$59,059 ",68,0.626,3,0,"$68,647 "
Santa Fe Springs,148,"$60,445 ",175,0.448,12,3,"$68,647 "
Artesia,147,"$60,538 ",13,0.706,9,0,"$68,647 "
Veterans Administration,146,"$60,561 ",85,0.592,0,0,"$68,647 "
Littlerock,145,"$60,781 ",84,0.592,0,0,"$68,647 "
Irwindale,144,"$60,959 ",249,0.212,3,0,"$68,647 "
Lopez/Kagel Canyons,143,"$61,398 ",118,0.543,0,0,"$68,647 "
Monrovia,142,"$61,504 ",47,0.65,10,1,"$68,647 "
West Whittier-Los Nietos,141,"$61,504 ",224,0.307,1,1,"$68,647 "
Windsor Square,140,"$61,767 ",36,0.661,10,0,"$68,647 "
Norwalk,137,"$62,412 ",105,0.554,5,6,"$68,647 "
Del Rey,138,"$62,259 ",33,0.666,6,2,"$68,647 "
Winnetka,136,"$62,535 ",26,0.678,10,6,"$68,647 "
Carson,92,"$70,645 ",6,0.741,8,6,"$68,647 "
Mar Vista,135,"$62,611 ",60,0.634,3,0,"$68,647 "
Pasadena,134,"$62,825 ",12,0.706,4,7,"$68,647 "
Beverly Grove,133,"$63,039 ",218,0.319,3,1,"$68,647 "
Vermont Vista,246,"$31,272 ",132,0.526,5,5,"$68,647 "
Pico-Robertson,131,"$63,356 ",178,0.442,3,0,"$68,647 "
East San Gabriel,130,"$64,365 ",22,0.683,0,0,"$68,647 "
Burbank,129,"$64,416 ",92,0.581,22,1,"$68,647 "
Avocado Heights,128,"$64,544 ",205,0.362,1,0,"$68,647 "
South Whittier,127,"$64,670 ",169,0.457,0,4,"$68,647 "
West Puente Valley,126,"$64,809 ",214,0.334,1,1,"$68,647 "
South San Gabriel,125,"$64,827 ",86,0.59,0,1,"$68,647 "
Lake Balboa,124,"$65,336 ",61,0.632,1,1,"$68,647 "
South San Jose Hills,123,"$65,527 ",227,0.304,0,0,"$68,647 "
Arleta,122,"$65,649 ",171,0.455,0,2,"$68,647 "
Sylmar,121,"$65,783 ",163,0.466,6,1,"$68,647 "
Fairfax,120,"$65,938 ",232,0.277,4,0,"$68,647 "
Temple City,119,"$65,965 ",34,0.665,6,2,"$68,647 "
Vincent,118,"$66,221 ",97,0.574,0,0,"$68,647 "
Signal Hill,117,"$66,283 ",8,0.737,2,1,"$68,647 "
Covina,116,"$66,438 ",44,0.653,6,4,"$68,647 "
Del Aire,115,"$66,442 ",41,0.657,0,0,"$68,647 "
Industry,114,"$66,616 ",112,0.546,15,0,"$68,647 "
Citrus,113,"$66,638 ",139,0.519,0,0,"$68,647 "
West Carson,112,"$66,805 ",3,0.748,5,1,"$68,647 "
Whittier,111,"$66,891 ",108,0.548,25,3,"$68,647 "
Eagle Rock,110,"$67,253 ",19,0.69,5,3,"$68,647 "
Mayflower Village,109,"$67,592 ",40,0.658,0,0,"$68,647 "
Venice,108,"$67,647 ",126,0.534,3,2,"$68,647 "
Northridge,107,"$67,906 ",35,0.661,15,3,"$68,647 "
Lake View Terrace,106,"$67,985 ",58,0.636,0,0,"$68,647 "
Val Verde,105,"$68,073 ",77,0.602,0,0,"$68,647 "
Charter Oak,104,"$68,092 ",39,0.659,0,0,"$68,647 "
Duarte,103,"$68,539 ",20,0.687,4,2,"$68,647 "
Playa Vista,102,"$68,597 ",10,0.722,2,0,"$68,647 "
Westwood,101,"$68,716 ",117,0.543,15,1,"$68,647 "
Sunland,100,"$68,720 ",133,0.526,0,1,"$68,647 "
Santa Monica,99,"$69,013 ",164,0.465,27,1,"$68,647 "
Hollywood Hills,98,"$69,277 ",184,0.433,0,0,"$68,647 "
Sherman Oaks,97,"$69,651 ",182,0.434,12,1,"$68,647 "
Rancho Park,96,"$69,724 ",83,0.598,0,1,"$68,647 "
East La Mirada,95,"$69,930 ",103,0.561,0,1,"$68,647 "
Valinda,94,"$70,037 ",153,0.482,0,0,"$68,647 "
Southeast Antelope Valley,93,"$70,134 ",194,0.393,0,0,"$68,647 "
North Hills,184,"$52,456 ",76,0.604,6,5,"$68,647 "
Culver City,91,"$70,774 ",24,0.681,17,1,"$68,647 "
Carthay,90,"$71,398 ",73,0.615,3,0,"$68,647 "
Downey,139,"$61,839 ",96,0.577,19,5,"$68,647 "
Rancho Dominguez,88,"$72,097 ",16,0.701,0,1,"$68,647 "
Rowland Heights,87,"$72,638 ",63,0.632,16,1,"$68,647 "
Angeles Crest,86,"$72,841 ",172,0.452,0,0,"$68,647 "
Toluca Lake,85,"$73,111 ",167,0.457,3,0,"$68,647 "
